movieId,title,genres
1,Toy Story ,1.jpg
2,Jumanji ,2.jpg
3,Grumpier Old Men ,3.jpg
5,Father of the Bride Part II ,5.jpg
6,Heat ,6.jpg
7,Sabrina ,7.jpg
10,GoldenEye ,10.jpg
11,"American President, The ",11.jpg
16,Casino ,16.jpg
17,Sense and Sensibility ,17.jpg
19,Ace Ventura: When Nature Calls ,19.jpg
21,Get Shorty ,21.jpg
25,Leaving Las Vegas ,25.jpg
32,Twelve Monkeys ,32.jpg
34,Babe ,34.jpg
36,Dead Man Walking ,36.jpg
39,Clueless ,39.jpg
44,Mortal Kombat ,44.jpg
47,Seven ,47.jpg
48,Pocahontas ,48.jpg
50,"Usual Suspects, The ",50.jpg
58,"Postman, The ",58.jpg
62,Mr. Holland's Opus ,62.jpg
70,From Dusk Till Dawn ,70.jpg
95,Broken Arrow ,95.jpg
104,Happy Gilmore ,104.jpg
110,Braveheart ,110.jpg
111,Taxi Driver ,111.jpg
112,Rumble in the Bronx ,112.jpg
141,"Birdcage, The ",141.jpg
145,Bad Boys ,145.jpg
150,Apollo 13 ,150.jpg
151,Rob Roy ,151.jpg
153,Batman Forever ,153.jpg
158,Casper ,158.jpg
160,Congo ,160.jpg
161,Crimson Tide ,161.jpg
163,Desperado ,163.jpg
165,Die Hard: With a Vengeance ,165.jpg
168,First Knight ,168.jpg
172,Johnny Mnemonic ,172.jpg
173,Judge Dredd ,173.jpg
185,"Net, The ",185.jpg
186,Nine Months ,186.jpg
196,Species ,196.jpg
208,Waterworld ,208.jpg
223,Clerks ,223.jpg
225,Disclosure ,225.jpg
231,Dumb & Dumber ,231.jpg
235,Ed Wood ,235.jpg
236,French Kiss ,236.jpg
246,Hoop Dreams ,246.jpg
252,I.Q. ,252.jpg
253,Interview with the Vampire: The Vampire Chronicles ,253.jpg
260,Star Wars: Episode IV - A New Hope ,260.jpg
261,Little Women ,261.jpg
265,Like Water for Chocolate ,265.jpg
266,Legends of the Fall ,266.jpg
282,Nell ,282.jpg
288,Natural Born Killers ,288.jpg
292,Outbreak ,292.jpg
293,Léon: The Professional ,293.jpg
296,Pulp Fiction ,296.jpg
300,Quiz Show ,300.jpg
315,"Specialist, The ",315.jpg
316,Stargate ,316.jpg
317,"Santa Clause, The ",317.jpg
318,"Shawshank Redemption, The ",318.jpg
329,Star Trek: Generations ,329.jpg
333,Tommy Boy ,333.jpg
337,What's Eating Gilbert Grape ,337.jpg
339,While You Were Sleeping ,339.jpg
342,Muriel's Wedding ,342.jpg
344,Ace Ventura: Pet Detective ,344.jpg
345,"Adventures of Priscilla, Queen of the Desert, The ",345.jpg
349,Clear and Present Danger ,349.jpg
350,"Client, The ",350.jpg
353,"Crow, The ",353.jpg
356,Forrest Gump ,356.jpg
357,Four Weddings and a Funeral ,357.jpg
364,"Lion King, The ",364.jpg
367,"Mask, The ",367.jpg
368,Maverick ,368.jpg
370,Naked Gun 33 1/3: The Final Insult ,370.jpg
376,"River Wild, The ",376.jpg
377,Speed ,377.jpg
380,True Lies ,380.jpg
410,Addams Family Values ,410.jpg
420,Beverly Hills Cop III ,420.jpg
432,City Slickers II: The Legend of Curly's Gold ,432.jpg
434,Cliffhanger ,434.jpg
435,Coneheads ,435.jpg
440,Dave ,440.jpg
442,Demolition Man ,442.jpg
454,"Firm, The ",454.jpg
457,"Fugitive, The ",457.jpg
466,Hot Shots! Part Deux ,466.jpg
471,"Hudsucker Proxy, The ",471.jpg
474,In the Line of Fire ,474.jpg
480,Jurassic Park ,480.jpg
485,Last Action Hero ,485.jpg
494,Executive Decision ,494.jpg
497,Much Ado About Nothing ,497.jpg
500,Mrs. Doubtfire ,500.jpg
508,Philadelphia ,508.jpg
509,"Piano, The ",509.jpg
515,"Remains of the Day, The ",515.jpg
520,Robin Hood: Men in Tights ,520.jpg
527,Schindler's List ,527.jpg
529,Searching for Bobby Fischer ,529.jpg
539,Sleepless in Seattle ,539.jpg
541,Blade Runner ,541.jpg
543,So I Married an Axe Murderer ,543.jpg
551,"Nightmare Before Christmas, The ",551.jpg
552,"Three Musketeers, The ",552.jpg
553,Tombstone ,553.jpg
555,True Romance ,555.jpg
586,Home Alone ,586.jpg
587,Ghost ,587.jpg
588,Aladdin ,588.jpg
589,Terminator 2: Judgment Day ,589.jpg
590,Dances with Wolves ,590.jpg
592,Batman ,592.jpg
593,"Silence of the Lambs, The ",593.jpg
594,Snow White and the Seven Dwarfs ,594.jpg
595,Beauty and the Beast ,595.jpg
596,Pinocchio ,596.jpg
597,Pretty Woman ,597.jpg
608,Fargo ,608.jpg
628,Primal Fear ,628.jpg
648,Mission: Impossible ,648.jpg
653,Dragonheart ,653.jpg
661,James and the Giant Peach ,661.jpg
708,"Truth About Cats & Dogs, The ",708.jpg
733,"Rock, The ",733.jpg
736,Twister ,736.jpg
745,Wallace & Gromit: A Close Shave ,745.jpg
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,750.jpg
778,Trainspotting ,778.jpg
780,Independence Day ,780.jpg
783,"Hunchback of Notre Dame, The ",783.jpg
784,"Cable Guy, The ",784.jpg
785,Kingpin ,785.jpg
786,Eraser ,786.jpg
788,"Nutty Professor, The ",788.jpg
802,Phenomenon ,802.jpg
805,"Time to Kill, A ",805.jpg
832,Ransom ,832.jpg
852,Tin Cup ,852.jpg
858,"Godfather, The ",858.jpg
899,Singin' in the Rain ,899.jpg
903,Vertigo ,903.jpg
904,Rear Window ,904.jpg
908,North by Northwest ,908.jpg
910,Some Like It Hot ,910.jpg
912,Casablanca ,912.jpg
913,"Maltese Falcon, The ",913.jpg
919,"Wizard of Oz, The ",919.jpg
920,Gone with the Wind ,920.jpg
923,Citizen Kane ,923.jpg
924,2001: A Space Odyssey ,924.jpg
953,It's a Wonderful Life ,953.jpg
969,"African Queen, The ",969.jpg
1028,Mary Poppins ,1028.jpg
1035,"Sound of Music, The ",1035.jpg
1036,Die Hard ,1036.jpg
1059,William Shakespeare's Romeo + Juliet ,1059.jpg
1073,Willy Wonka & the Chocolate Factory ,1073.jpg
1079,"Fish Called Wanda, A ",1079.jpg
1080,Monty Python's Life of Brian ,1080.jpg
1088,Dirty Dancing ,1088.jpg
1089,Reservoir Dogs ,1089.jpg
1090,Platoon ,1090.jpg
1092,Basic Instinct ,1092.jpg
1094,"Crying Game, The ",1094.jpg
1097,E.T. the Extra-Terrestrial ,1097.jpg
1101,Top Gun ,1101.jpg
1127,"Abyss, The ",1127.jpg
1136,Monty Python and the Holy Grail ,1136.jpg
1148,Wallace & Gromit: The Wrong Trousers ,1148.jpg
1183,"English Patient, The ",1183.jpg
1193,One Flew Over the Cuckoo's Nest ,1193.jpg
1196,Star Wars: Episode V - The Empire Strikes Back ,1196.jpg
1197,"Princess Bride, The ",1197.jpg
1198,Raiders of the Lost Ark ,1198.jpg
1199,Brazil ,1199.jpg
1200,Aliens ,1200.jpg
1201,"Good, the Bad and the Ugly, The ",1201.jpg
1203,12 Angry Men ,1203.jpg
1204,Lawrence of Arabia ,1204.jpg
1206,"Clockwork Orange, A ",1206.jpg
1207,To Kill a Mockingbird ,1207.jpg
1208,Apocalypse Now ,1208.jpg
1210,Star Wars: Episode VI - Return of the Jedi ,1210.jpg
1213,Goodfellas ,1213.jpg
1214,Alien ,1214.jpg
1215,Army of Darkness ,1215.jpg
1219,Psycho ,1219.jpg
1220,"Blues Brothers, The ",1220.jpg
1221,"Godfather: Part II, The ",1221.jpg
1222,Full Metal Jacket ,1222.jpg
1225,Amadeus ,1225.jpg
1230,Annie Hall ,1230.jpg
1233,"Boot, Das ",1233.jpg
1234,"Sting, The ",1234.jpg
1240,"Terminator, The ",1240.jpg
1242,Glory ,1242.jpg
1246,Dead Poets Society ,1246.jpg
1247,"Graduate, The ",1247.jpg
1250,"Bridge on the River Kwai, The ",1250.jpg
1252,Chinatown ,1252.jpg
